Name,CAS,Phase,Tchar,thetachar,DeltaCp,phi0,Source,Cat_1,Cat_2,Cat_3
"2,6-Dimethyloctane",2051-30-1,Supelcowax,50.592,26.687,50.935,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,Supelcowax,144.17,31.253,93.406,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,Supelcowax,100.31,28.72,81.202,0.001,McGinitie2011,alcohol,,
2-Methylhexane,591-76-4,Supelcowax,-12.475,24.139,25.115,0.001,McGinitie2011,alkane,,
"2,6-Dimethyloctane",2051-30-1,Supelcowax,49.875,26.881,53.889,0.001,McGinitie2011,alkane,,
4-Nonanol,5932-79-6,Supelcowax,144.05,31.449,98.767,0.001,McGinitie2011,alcohol,,
3-Hexanol,623-37-0,Supelcowax,100.29,28.9,86.78,0.001,McGinitie2011,alcohol,,
1-Undecanol,112-42-5,SLB5ms,169.59,32.65,97.9,0.001,McGinitie2011,alcohol,alcohols,
1-Dodecanol,112-53-8,SLB5ms,183.71,33.219,102.32,0.001,McGinitie2011,alcohol,alcohols,
1-Tridecanol,112-70-9,SLB5ms,196.9,33.694,106.72,0.001,McGinitie2011,alcohol,alcohols,
1-Tetradecanol,112-72-1,SLB5ms,209.38,34.117,111.05,0.001,McGinitie2011,alcohol,alcohols,
